customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating
194,1088,130.0,2024-03-28,Electronics,2.4
147,1089,236.0,2024-03-29,Groceries,2.985
114,1090,162.0,2024-03-30,Clothing,4.4
171,1091,51.0,2024-03-31,Electronics,2.7
177,1092,179.0,2024-04-01,Clothing,4.0
186,1093,269.0,2024-04-02,Clothing,4.0
161,1094,103.0,2024-04-03,Groceries,1.4
139,1095,392.0,2024-04-04,Clothing,4.6
184,1096,273.0,2024-04-05,Clothing,3.0
179,1097,274.0,2024-04-06,Groceries,4.3
181,1098,434.0,2024-04-07,Clothing,2.985
152,1099,452.0,2024-04-08,Clothing,4.6
123,1100,175.0,2024-04-09,Clothing,2.6
125,1101,179.0,2024-04-10,Electronics,2.985
188,1102,102.0,2024-04-11,Electronics,4.6
159,1103,221.0,2024-04-12,Electronics,1.4
140,1104,267.0,2024-04-13,Groceries,2.3
128,1105,209.0,2024-04-14,Books,4.8
114,1106,247.0,2024-04-15,Clothing,4.8
144,1107,465.0,2024-04-16,Clothing,3.3
164,1108,296.0,2024-04-17,Groceries,3.5
188,1109,373.0,2024-04-18,Clothing,2.8
170,1110,488.0,2024-04-19,Electronics,2.985
108,1111,252.0,2024-04-20,Books,2.3
187,1112,233.0,2024-04-21,Sports,3.7
100,1113,172.0,2024-04-22,Clothing,4.0
107,1114,450.0,2024-04-23,Electronics,4.2
187,1115,304.0,2024-04-24,Sports,4.2
162,1116,343.0,2024-04-25,Books,1.4
110,1117,329.0,2024-04-26,Sports,3.0
180,1118,374.0,2024-04-27,Electronics,1.2
107,1119,421.0,2024-04-28,Sports,3.2
134,1120,147.0,2024-04-29,Groceries,2.8
134,1121,247.0,2024-04-30,Sports,4.6
132,1122,444.0,2024-05-01,Clothing,2.4
104,1123,289.0,2024-05-02,Clothing,1.5
140,1124,193.0,2024-05-03,Groceries,1.6
127,1125,146.0,2024-05-04,Electronics,4.0
106,1126,250.0,2024-05-05,Clothing,3.5
172,1127,173.0,2024-05-06,Books,1.4
171,1128,236.0,2024-05-07,Clothing,1.3
111,1129,375.0,2024-05-08,Clothing,3.8
133,1130,398.0,2024-05-09,Electronics,1.3
132,1131,308.0,2024-05-10,Sports,4.3
147,1132,197.0,2024-05-11,Clothing,3.8
122,1133,301.0,2024-05-12,Groceries,1.3
161,1134,492.0,2024-05-13,Sports,1.3
187,1135,469.0,2024-05-14,Books,4.9
136,1136,452.0,2024-05-15,Electronics,2.5
198,1137,395.0,2024-05-16,Books,2.5
143,1138,196.0,2024-05-17,Sports,4.3
185,1139,197.0,2024-05-18,Sports,4.8
190,1140,401.0,2024-05-19,Sports,4.9
134,1141,248.0,2024-05-20,Books,4.0
164,1142,357.0,2024-05-21,Sports,2.5
198,1143,466.0,2024-05-22,Books,2.985
146,1144,473.0,2024-05-23,Sports,4.1
177,1145,177.0,2024-05-24,Groceries,3.2
102,1146,88.0,2024-05-25,Sports,2.7
100,1147,387.0,2024-05-26,Books,4.6
104,1148,409.0,2024-05-27,Clothing,1.4
189,1149,178.0,2024-05-28,Sports,3.0
113,1150,316.0,2024-05-29,Clothing,1.0
151,1151,383.86635497545717,2024-01-17,Sports,2.3
192,1152,375.18141128115764,2023-12-19,Groceries,4.2
114,1153,464.78244989467044,2024-01-11,Books,2.1
171,1154,297.3639379911817,2023-12-24,Sports,2.8
160,1155,87.78115417516733,2023-12-17,Groceries,1.3
120,1156,313.6102239750616,2023-12-27,Books,1.1
182,1157,108.53609612946727,2024-02-03,Electronics,4.9
186,1158,444.6094260074025,2024-02-02,Sports,4.3
174,1159,271.01377359870366,2023-12-11,Groceries,3.8
174,1160,73.7661058530638,2024-01-05,Electronics,2.6
187,1161,454.1824911767236,2023-12-25,Books,1.7
199,1162,258.48498197550015,2024-02-08,Electronics,1.6
123,1163,283.9207029101818,2024-01-19,Sports,2.0
102,1164,104.48811255462248,2024-01-06,Groceries,3.2
121,1165,196.63604661672224,2023-12-26,Clothing,3.9
152,1166,435.4666245795777,2024-01-08,Books,3.6
101,1167,259.4533466951148,2023-12-30,Groceries,2.1
187,1168,450.5580146158162,2023-12-22,Sports,4.8
129,1169,296.0675680726162,2024-01-31,Sports,4.0
137,1170,280.09138103709273,2024-01-30,Groceries,3.2
101,1171,144.96216339352813,2023-12-29,Clothing,3.4
163,1172,186.73455891505242,2024-02-07,Groceries,2.7
159,1173,100.99570242440603,2024-02-05,Electronics,2.0
120,1174,105.13550932361252,2024-01-04,Clothing,2.4
132,1175,91.99069639302509,2024-02-15,Groceries,4.0
175,1176,187.58580345738093,2024-02-10,Groceries,1.1
157,1177,399.8174746819505,2023-12-28,Clothing,1.5
121,1178,310.4488949910402,2024-01-30,Books,1.2
188,1179,292.0574346204615,2024-02-03,Electronics,1.2
148,1180,102.9818413636653,2024-02-27,Books,4.4
190,1181,340.1502311155256,2024-02-29,Groceries,3.8
158,1182,107.44950148066235,2024-02-29,Clothing,2.9
141,1183,189.27524550122163,2024-02-27,Groceries,1.4
191,1184,78.22654368820245,2024-01-24,Electronics,3.0
159,1185,89.32571050280039,2024-03-01,Groceries,2.9
179,1186,428.50330024305265,2024-01-23,Groceries,1.7
114,1187,188.74410219531006,2024-01-25,Groceries,2.7
161,1188,349.1063151824628,2024-02-05,Sports,2.6
161,1189,107.0769868454683,2024-01-25,Sports,2.985
146,1190,189.5654777131468,2024-01-29,Books,3.5
161,1191,88.98031445330874,2024-01-23,Clothing,1.2
150,1192,374.765592464804,2024-01-16,Books,2.985
154,1193,376.8945615742948,2024-03-12,Books,2.985
163,1194,433.3690724324965,2024-01-29,Groceries,3.0
102,1195,396.24711276202885,2024-03-08,Electronics,4.4
150,1196,175.49796679901786,2024-02-07,Clothing,3.6
106,1197,420.428655068701,2024-02-08,Clothing,1.7
120,1198,314.9230039711468,2024-02-11,Books,1.3
172,1199,276.5965033493412,2024-02-05,Groceries,3.6
138,1200,290.66220315448106,2024-02-13,Books,1.1
117,1201,463.63176991527007,2024-02-23,Electronics,3.3
103,1202,431.834024863731,2024-03-15,Sports,4.8
188,1203,372.1089471486273,2024-03-20,Groceries,3.3
159,1204,507.90620641267765,2024-01-29,Sports,2.6
113,1205,163.34868082958369,2024-02-26,Clothing,3.6
108,1206,205.92397783459325,2024-02-20,Electronics,2.8
189,1207,254.4991775061195,2024-03-01,Groceries,3.2
152,1208,308.45141967735924,2024-03-20,Sports,4.8
101,1209,372.52035894313025,2024-02-10,Books,2.5
183,1210,274.40599417314826,2024-02-02,Electronics,4.8
191,1211,468.4616099203534,2024-03-18,Clothing,4.6
159,1212,239.99895180715862,2024-02-22,Groceries,1.8
170,1213,399.6150314438329,2024-02-17,Books,1.3
143,1214,192.34920720971522,2024-02-10,Groceries,1.4
107,1215,262.6521647454576,2024-02-19,Electronics,1.1
146,1216,384.90872162817817,2024-02-05,Groceries,1.4
134,1217,309.64446132405,2024-03-07,Clothing,3.7
177,1218,184.23881068586306,2024-03-06,Electronics,1.3
180,1219,201.46512276421876,2024-03-11,Groceries,2.3
135,1220,365.3574331033408,2024-02-09,Electronics,2.985
149,1221,467.6180097273092,2024-02-25,Books,1.1
103,1222,178.9157096531863,2024-02-24,Electronics,4.3
101,1223,169.54982950954746,2024-02-21,Books,2.1
105,1224,232.23820841192025,2024-04-04,Electronics,1.5
153,1225,333.3459659711484,2024-03-28,Electronics,3.8
103,1226,214.11477569598446,2024-03-24,Groceries,3.5
153,1227,364.9787638396628,2024-03-01,Books,4.5
192,1228,474.28868814317383,2024-02-28,Clothing,3.9
162,1229,119.85756951900485,2024-03-15,Electronics,4.2
117,1230,243.638132491807,2024-02-27,Electronics,2.1
189,1231,365.5029024751239,2024-03-14,Books,2.985
143,1232,448.53816232502965,2024-04-05,Sports,4.0
133,1233,410.6776050865113,2024-04-18,Clothing,4.2
173,1234,195.67434698198463,2024-04-15,Groceries,5.0
161,1235,174.3302274632942,2024-04-23,Sports,2.7
199,1236,137.02166033780009,2024-04-07,Books,2.5
113,1237,455.5882556447625,2024-04-02,Sports,4.1
194,1238,107.95085182774994,2024-03-22,Books,2.4
147,1239,282.18182255552966,2024-04-21,Electronics,2.985
114,1240,181.0356071821529,2024-04-27,Clothing,4.4
171,1241,89.37603070466207,2024-03-02,Sports,2.7
177,1242,174.27860922485866,2024-04-30,Books,4.0
186,1243,261.2329303577949,2024-04-12,Groceries,4.0
161,1244,111.06020975817633,2024-04-11,Electronics,1.4
139,1245,391.61711871398325,2024-03-16,Books,4.6
184,1246,276.9198107471868,2024-03-26,Groceries,3.0
179,1247,311.21315529253263,2024-03-13,Clothing,4.3
181,1248,457.5452931598371,2024-05-04,Clothing,2.985
152,1249,500.41531079954655,2024-04-15,Books,4.6
123,1250,162.64752211996586,2024-05-04,Clothing,2.6
125,1251,192.08299913543505,2024-04-20,Sports,2.985
188,1252,127.89600711895011,2024-04-29,Groceries,4.6
159,1253,166.39345622833943,2024-04-07,Groceries,1.4
140,1254,246.9487381227325,2024-05-06,Electronics,2.3
128,1255,210.63001124337154,2024-05-08,Electronics,4.8
114,1256,307.25073323598593,2024-04-03,Clothing,4.8
144,1257,443.3147377581682,2024-04-19,Electronics,3.3
164,1258,261.3949076272456,2024-04-30,Groceries,3.5
188,1259,326.53548806302354,2024-04-16,Sports,2.8
170,1260,471.5690565356829,2024-05-02,Sports,2.985
108,1261,253.93734872345243,2024-04-14,Groceries,2.3
187,1262,290.3174633333935,2024-04-10,Books,3.7
100,1263,188.24503059706595,2024-04-01,Clothing,4.0
107,1264,430.3481222726347,2024-04-27,Clothing,4.2
187,1265,243.540767704728,2024-04-22,Groceries,4.2
162,1266,398.809204891086,2024-04-05,Sports,1.4
110,1267,352.3873739263353,2024-05-12,Clothing,3.0
180,1268,392.87779692458815,2024-05-09,Electronics,1.2
107,1269,425.62355818058523,2024-04-28,Sports,3.2
134,1270,177.2526566518534,2024-04-11,Groceries,2.8
134,1271,267.1828981559216,2024-04-24,Clothing,4.6
132,1272,480.4856537968612,2024-04-17,Clothing,2.4
104,1273,315.16739939004697,2024-05-19,Electronics,1.5
140,1274,185.82879885080516,2024-04-22,Books,1.6
127,1275,190.8384866971255,2024-04-30,Sports,4.0
106,1276,234.92739792777456,2024-04-15,Clothing,3.5
172,1277,137.47554176043172,2024-04-13,Groceries,1.4
171,1278,271.61596349139813,2024-04-09,Sports,1.3
111,1279,351.0062661896379,2024-05-06,Sports,3.8
133,1280,351.4662856869119,2024-04-12,Books,1.3
132,1281,257.43903982333876,2024-04-21,Sports,4.3
147,1282,196.93287113024795,2024-06-02,Books,3.8
122,1283,242.24947637311692,2024-05-26,Groceries,1.3
161,1284,463.75890248243047,2024-06-06,Electronics,1.3
187,1285,459.0804608170381,2024-05-25,Clothing,4.9
136,1286,447.4387339032591,2024-05-20,Books,2.5
198,1287,401.42299857671105,2024-05-12,Groceries,2.5
143,1288,159.4708868083237,2024-06-12,Groceries,4.3
185,1289,171.23006840751304,2024-05-21,Clothing,4.8
190,1290,405.87020785452006,2024-06-02,Sports,4.9
134,1291,285.4412950476778,2024-05-02,Electronics,4.0
164,1292,372.8221236508136,2024-06-02,Clothing,2.5
198,1293,481.9938023921642,2024-05-14,Books,2.985
146,1294,444.87743816324866,2024-05-08,Groceries,4.1
177,1295,168.35813354721324,2024-05-30,Sports,3.2
102,1296,54.32533575032722,2024-05-10,Sports,2.7
100,1297,359.6500699111037,2024-06-24,Clothing,4.6
104,1298,322.32642248337845,2024-05-09,Clothing,1.4
189,1299,177.35921498129989,2024-05-03,Clothing,3.0
113,1300,259.7490579742357,2024-05-25,Electronics,1.0
